season,id,team,location,conference,conference_abb,barthag_team_name
2003,2382,Mercer Bears,Mercer,ASUN Conference,a-sun,Mercer
2003,2653,Troy Trojans,Troy,ASUN Conference,a-sun,Troy
2003,2057,Belmont Bruins,Belmont,ASUN Conference,a-sun,Belmont
2003,2116,UCF Knights,UCF,ASUN Conference,a-sun,UCF
2003,2247,Georgia State Panthers,Georgia State,ASUN Conference,a-sun,Georgia St.
2003,294,Jacksonville Dolphins,Jacksonville,ASUN Conference,a-sun,Jacksonville
2003,56,Stetson Hatters,Stetson,ASUN Conference,a-sun,Stetson
2003,2226,Florida Atlantic Owls,Florida Atlantic,ASUN Conference,a-sun,Florida Atlantic
2003,2241,Gardner-Webb Runnin' Bulldogs,Gardner-Webb,ASUN Conference,a-sun,Gardner Webb
2003,2097,Campbell Fighting Camels,Campbell,ASUN Conference,a-sun,Campbell
2003,288,Lipscomb Bisons,Lipscomb,ASUN Conference,a-sun,Lipscomb
2003,104,Boston University Terriers,Boston University,America East Conference,aeast,Boston University
2003,261,Vermont Catamounts,Vermont,America East Conference,aeast,Vermont
2003,42,Hartford Hawks,Hartford,America East Conference,aeast,Hartford
2003,2066,Binghamton Bearcats,Binghamton,America East Conference,aeast,Binghamton
2003,311,Maine Black Bears,Maine,America East Conference,aeast,Maine
2003,111,Northeastern Huskies,Northeastern,America East Conference,aeast,Northeastern
2003,2619,Stony Brook Seawolves,Stony Brook,America East Conference,aeast,Stony Brook
2003,2378,UMBC Retrievers,UMBC,America East Conference,aeast,UMBC
2003,160,New Hampshire Wildcats,New Hampshire,America East Conference,aeast,New Hampshire
2003,399,UAlbany Great Danes,UAlbany,America East Conference,aeast,Albany
2003,2603,Saint Joseph's Hawks,Saint Joseph's,Atlantic 10 Conference,atl10e,Saint Joseph's
2003,218,Temple Owls,Temple,Atlantic 10 Conference,atl10e,Temple
2003,227,Rhode Island Rams,Rhode Island,Atlantic 10 Conference,atl10e,Rhode Island
2003,113,Massachusetts Minutemen,Massachusetts,Atlantic 10 Conference,atl10e,Massachusetts
2003,2230,Fordham Rams,Fordham,Atlantic 10 Conference,atl10e,Fordham
