season,id,team,conference
2019,200000,Wisconsin-Lutheran Warriors,
2020,200000,Wisconsin-Lutheran Warriors,
2010,200001,Rochester University (MI) Warriors,
2011,200001,Rochester University (MI) Warriors,
2012,200001,Rochester University (MI) Warriors,
2019,200001,Rochester University (MI) Warriors,
2021,200001,Rochester University (MI) Warriors,
2010,200002,Kentucky Christian Knights,
2011,200002,Kentucky Christian Knights,
2019,200002,Kentucky Christian Knights,
2020,200002,Kentucky Christian Knights,
2022,200002,Kentucky Christian Knights,
2023,200002,Kentucky Christian Knights,
2024,200002,Kentucky Christian Knights,
2025,200002,Kentucky Christian Knights,
2019,200003,Rivier Raiders,
2022,200003,Rivier Raiders,
2024,200003,Rivier Raiders,
2025,200003,Rivier Raiders,
2011,200004,Arlington Baptist Patriots,
2012,200004,Arlington Baptist Patriots,
2019,200004,Arlington Baptist Patriots,
2020,200004,Arlington Baptist Patriots,
2021,200004,Arlington Baptist Patriots,
2022,200004,Arlington Baptist Patriots,
2023,200004,Arlington Baptist Patriots,
2024,200004,Arlington Baptist Patriots,
2025,200004,Arlington Baptist Patriots,
2010,200005,Johnson & Wales (CO) Wildcats,
2011,200005,Johnson & Wales (CO) Wildcats,
2012,200005,Johnson & Wales (CO) Wildcats,
2019,200005,Johnson & Wales (CO) Wildcats,
2020,200005,Johnson & Wales (CO) Wildcats,
2019,200006,Bob Jones Bruins,
2020,200006,Bob Jones Bruins,
2022,200006,Bob Jones Bruins,
2023,200006,Bob Jones Bruins,
2024,200006,Bob Jones Bruins,
2025,200006,Bob Jones Bruins,
2011,200007,Concordia-Ann Arbor Cardinals,
2012,200007,Concordia-Ann Arbor Cardinals,
2019,200007,Concordia-Ann Arbor Cardinals,
2020,200007,Concordia-Ann Arbor Cardinals,
2022,200007,Concordia-Ann Arbor Cardinals,
2023,200007,Concordia-Ann Arbor Cardinals,
2025,200007,Concordia-Ann Arbor Cardinals,
2012,200008,Mars Hill Mountain Lions,
2019,200008,Mars Hill Mountain Lions,
2020,200008,Mars Hill Mountain Lions,
2021,200008,Mars Hill Mountain Lions,
2023,200008,Mars Hill Mountain Lions,
2010,200009,MIT Engineers,
2011,200009,MIT Engineers,
2012,200009,MIT Engineers,
2019,200009,MIT Engineers,
2020,200009,MIT Engineers,
2022,200009,MIT Engineers,
2010,200010,Davis & Elkins Senators,
2019,200010,Davis & Elkins Senators,
2023,200010,Davis & Elkins Senators,
2025,200010,Davis & Elkins Senators,
2010,200011,Randolph College Wildcats,
2011,200011,Randolph College Wildcats,
2012,200011,Randolph College Wildcats,
2019,200011,Randolph College Wildcats,
2020,200011,Randolph College Wildcats,
2022,200011,Randolph College Wildcats,
2023,200011,Randolph College Wildcats,
2025,200011,Randolph College Wildcats,
2010,200012,Hartford Hawks,
2011,200012,Hartford Hawks,
2012,200012,Hartford Hawks,
2019,200012,Hartford Hawks,
2020,200012,Hartford Hawks,
2021,200012,Hartford Hawks,
2022,200012,Hartford Hawks,
2023,200012,Hartford Hawks,
2024,200012,Hartford Hawks,
2012,200013,Cedarville Yellow Jackets,
2019,200013,Cedarville Yellow Jackets,
2021,200013,Cedarville Yellow Jackets,
2019,200014,Eastern Mennonite Royals,
2022,200014,Eastern Mennonite Royals,
2024,200014,Eastern Mennonite Royals,
2010,200015,Lees-McRae Bobcats,
2012,200015,Lees-McRae Bobcats,
2019,200015,Lees-McRae Bobcats,
2022,200015,Lees-McRae Bobcats,
2023,200015,Lees-McRae Bobcats,
2010,200016,East Texas Baptist Tigers,
2011,200016,East Texas Baptist Tigers,
2012,200016,East Texas Baptist Tigers,
2019,200016,East Texas Baptist Tigers,
2021,200016,East Texas Baptist Tigers,
2019,200017,Columbia International Rams,
2020,200017,Columbia International Rams,
2021,200017,Columbia International Rams,
2022,200017,Columbia International Rams,
2023,200017,Columbia International Rams,
2024,200017,Columbia International Rams,
2025,200017,Columbia International Rams,
2019,200018,Southeastern Baptist College Chargers,
2020,200018,Southeastern Baptist College Chargers,
2022,200018,Southeastern Baptist College Chargers,
2012,200019,Fort Valley State Wildcats,
2019,200019,Fort Valley State Wildcats,
2022,200019,Fort Valley State Wildcats,
2024,200019,Fort Valley State Wildcats,
2025,200019,Fort Valley State Wildcats,
2012,200020,Saint Leo Monarchs,
2019,200020,Saint Leo Monarchs,
2019,200021,Westcliff Warriors,
2020,200021,Westcliff Warriors,
2022,200021,Westcliff Warriors,
2023,200021,Westcliff Warriors,
2024,200021,Westcliff Warriors,
2025,200021,Westcliff Warriors,
2010,200022,Oakland City Mighty Oaks,
2011,200022,Oakland City Mighty Oaks,
2012,200022,Oakland City Mighty Oaks,
2019,200022,Oakland City Mighty Oaks,
2020,200022,Oakland City Mighty Oaks,
2022,200022,Oakland City Mighty Oaks,
2023,200022,Oakland City Mighty Oaks,
2024,200022,Oakland City Mighty Oaks,
2010,200023,Huston-Tillotson Rams,
2011,200023,Huston-Tillotson Rams,
2012,200023,Huston-Tillotson Rams,
2019,200023,Huston-Tillotson Rams,
2023,200023,Huston-Tillotson Rams,
2011,200024,Mississippi College Choctaws,
2012,200024,Mississippi College Choctaws,
2019,200024,Mississippi College Choctaws,
2022,200024,Mississippi College Choctaws,
2023,200024,Mississippi College Choctaws,
2024,200024,Mississippi College Choctaws,
2025,200024,Mississippi College Choctaws,
2019,200025,West Coast Baptist Eagles,
2020,200025,West Coast Baptist Eagles,
2023,200025,West Coast Baptist Eagles,
2010,200026,Spring Hill Badgers,
2011,200026,Spring Hill Badgers,
2012,200026,Spring Hill Badgers,
2019,200026,Spring Hill Badgers,
2020,200026,Spring Hill Badgers,
2021,200026,Spring Hill Badgers,
2022,200026,Spring Hill Badgers,
2023,200026,Spring Hill Badgers,
2024,200026,Spring Hill Badgers,
2025,200026,Spring Hill Badgers,
2019,200027,Texas Permian Basin Falcons,
2020,200027,Texas Permian Basin Falcons,
2021,200027,Texas Permian Basin Falcons,
2022,200027,Texas Permian Basin Falcons,
2010,200028,Centenary (LA) Gentlemen,
2011,200028,Centenary (LA) Gentlemen,
2012,200028,Centenary (LA) Gentlemen,
2019,200028,Centenary (LA) Gentlemen,
2020,200028,Centenary (LA) Gentlemen,
2022,200028,Centenary (LA) Gentlemen,
2023,200028,Centenary (LA) Gentlemen,
2010,200029,Alaska Anchorage Seawolves,
2011,200029,Alaska Anchorage Seawolves,
2019,200029,Alaska Anchorage Seawolves,
2019,200030,Medgar Evers Cougars,
2020,200030,Medgar Evers Cougars,
2022,200030,Medgar Evers Cougars,
2023,200030,Medgar Evers Cougars,
2024,200030,Medgar Evers Cougars,
2025,200030,Medgar Evers Cougars,
2010,200031,Webber International Warriors,
2011,200031,Webber International Warriors,
2012,200031,Webber International Warriors,
2019,200031,Webber International Warriors,
2021,200031,Webber International Warriors,
2022,200031,Webber International Warriors,
2023,200031,Webber International Warriors,
2025,200031,Webber International Warriors,
2010,200032,Florida Tech Panthers,
2011,200032,Florida Tech Panthers,
2019,200032,Florida Tech Panthers,
2020,200032,Florida Tech Panthers,
2022,200032,Florida Tech Panthers,
2023,200032,Florida Tech Panthers,
2025,200032,Florida Tech Panthers,
2010,200033,Johnson University Florida Suns,
2011,200033,Johnson University Florida Suns,
2012,200033,Johnson University Florida Suns,
2019,200033,Johnson University Florida Suns,
2020,200033,Johnson University Florida Suns,
2022,200033,Johnson University Florida Suns,
2023,200033,Johnson University Florida Suns,
2024,200033,Johnson University Florida Suns,
2010,200034,St. Edward's Hilltoppers,
2011,200034,St. Edward's Hilltoppers,
2019,200034,St. Edward's Hilltoppers,
2019,200035,York College Nebraska Panthers,
2024,200035,York College Nebraska Panthers,
2025,200035,York College Nebraska Panthers,
2019,200036,UW-Parkside Rangers,
2023,200036,UW-Parkside Rangers,
2010,200037,Colorado Christian Cougars,
2011,200037,Colorado Christian Cougars,
2012,200037,Colorado Christian Cougars,
2019,200037,Colorado Christian Cougars,
2020,200037,Colorado Christian Cougars,
2021,200037,Colorado Christian Cougars,
2023,200037,Colorado Christian Cougars,
2024,200037,Colorado Christian Cougars,
2025,200037,Colorado Christian Cougars,
2010,200038,Savannah State Tigers,
2011,200038,Savannah State Tigers,
2012,200038,Savannah State Tigers,
2019,200038,Savannah State Tigers,
2012,200039,CS Dominguez Hills Toros,
2019,200039,CS Dominguez Hills Toros,
2024,200039,CS Dominguez Hills Toros,
